iter	Passed	Remaining
0	70	70594
1	77	38858
2	83	27716
3	88	22041
4	93	18531
5	97	16172
6	101	14450
7	106	13147
8	110	12115
9	114	11308
10	117	10603
11	121	10018
12	125	9519
13	129	9106
14	133	8747
15	137	8428
16	141	8159
17	144	7903
18	148	7679
19	152	7465
20	155	7239
21	158	7061
22	163	6927
23	166	6770
24	169	6619
25	172	6466
26	175	6340
27	179	6230
28	182	6093
29	185	6006
30	189	5932
31	192	5810
32	195	5732
33	199	5677
34	204	5643
35	207	5562
36	211	5514
37	215	5462
38	218	5394
39	221	5319
40	225	5285
41	229	5231
42	232	5180
43	236	5144
44	240	5106
45	243	5059
46	247	5026
47	250	4975
48	254	4933
49	257	4893
50	259	4832
51	262	4780
52	265	4742
53	267	4684
54	270	4654
55	274	4620
56	277	4595
57	279	4541
58	283	4513
59	286	4487
60	288	4439
61	291	4407
62	294	4383
63	297	4356
64	301	4333
65	304	4311
66	308	4294
67	310	4257
68	315	4255
69	318	4234
70	322	4214
71	324	4176
72	327	4158
73	330	4139
74	334	4123
75	337	4106
76	341	4091
77	345	4080
78	348	4064
79	352	4050
80	355	4037
81	359	4021
82	362	4004
83	366	3991
84	369	3977
85	371	3945
86	374	3933
87	378	3923
88	382	3917
89	386	3909
90	388	3881
91	392	3875
92	396	3866
93	403	3891
94	409	3904
95	417	3930
96	422	3930
97	426	3921
98	430	3916
99	434	3908
100	438	3900
101	440	3875
102	444	3869
103	447	3856
104	451	3844
105	453	3820
106	456	3812
107	460	3802
108	463	3791
109	467	3780
110	470	3769
111	473	3757
112	475	3733
113	478	3721
114	480	3699
115	483	3686
116	487	3681
117	490	3665
118	493	3656
119	497	3650
120	501	3640
121	504	3633
122	508	3622
123	511	3612
124	514	3602
125	517	3589
126	520	3579
127	524	3571
128	527	3562
129	531	3554
130	534	3545
131	538	3539
132	541	3531
133	545	3522
134	548	3514
135	551	3506
136	555	3498
137	558	3491
138	562	3487
139	566	3479
140	570	3473
141	573	3465
142	577	3459
143	580	3450
144	583	3443
145	587	3436
146	591	3432
147	595	3427
148	599	3423
149	604	3423
150	607	3415
151	611	3412
152	615	3408
153	619	3402
154	623	3399
155	628	3401
156	632	3394
157	634	3382
158	638	3378
159	642	3374
160	646	3369
161	650	3363
162	653	3355
163	656	3348
164	660	3341
165	662	3329
166	665	3321
167	669	3314
168	672	3304
169	675	3298
170	678	3291
171	682	3286
172	686	3281
173	689	3275
174	693	3268
175	696	3262
176	700	3255
177	703	3248
178	706	3241
179	710	3234
180	713	3228
181	715	3216
182	719	3210
183	722	3203
184	725	3196
185	729	3191
186	731	3179
187	734	3173
188	738	3168
189	742	3163
190	745	3159
191	749	3155
192	753	3149
193	756	3141
194	759	3135
195	763	3130
196	766	3124
197	768	3114
198	772	3110
199	775	3102
200	779	3097
201	782	3092
202	786	3087
203	790	3082
204	792	3071
205	796	3069
206	800	3065
207	805	3066
208	808	3061
209	813	3060
210	817	3056
211	821	3052
212	824	3047
213	828	3043
214	832	3039
215	835	3033
216	838	3025
217	842	3020
218	846	3017
219	849	3010
220	853	3007
221	856	3001
222	859	2995
223	863	2990
224	866	2985
225	870	2980
226	873	2976
227	877	2971
228	881	2966
229	884	2961
230	887	2955
231	891	2951
232	894	2945
233	898	2939
234	901	2935
235	905	2930
236	908	2924
237	911	2919
238	915	2915
239	919	2910
240	922	2906
241	926	2901
242	928	2893
243	932	2888
244	935	2883
245	939	2878
246	941	2871
247	945	2866
248	948	2860
249	952	2857
250	955	2851
251	958	2845
252	961	2840
253	964	2834
254	967	2828
255	971	2822
256	974	2817
257	979	2815
258	982	2811
259	987	2809
260	991	2806
261	995	2802
262	998	2799
263	1002	2795
264	1006	2790
265	1009	2784
266	1011	2777
267	1015	2773
268	1018	2768
269	1022	2764
270	1025	2759
271	1029	2755
272	1033	2753
273	1037	2747
274	1040	2742
275	1043	2738
276	1047	2734
277	1050	2728
278	1054	2723
279	1057	2719
280	1061	2715
281	1064	2710
282	1067	2704
283	1070	2698
284	1074	2694
285	1077	2689
286	1080	2683
287	1082	2677
288	1086	2673
289	1089	2667
290	1092	2662
291	1097	2660
292	1100	2656
293	1104	2651
294	1106	2645
295	1111	2642
296	1114	2638
297	1118	2634
298	1121	2630
299	1125	2625
300	1128	2621
301	1132	2617
302	1135	2613
303	1139	2609
304	1143	2605
305	1147	2601
306	1150	2596
307	1154	2593
308	1159	2592
309	1164	2591
310	1169	2590
311	1173	2587
312	1179	2588
313	1184	2587
314	1189	2586
315	1193	2583
316	1198	2583
317	1203	2581
318	1206	2574
319	1210	2571
320	1214	2568
321	1219	2566
322	1223	2564
323	1227	2561
324	1231	2557
325	1235	2554
326	1239	2551
327	1243	2547
328	1247	2543
329	1251	2540
330	1255	2537
331	1259	2534
332	1263	2529
333	1266	2525
334	1270	2522
335	1274	2518
336	1278	2515
337	1281	2510
338	1285	2505
339	1288	2500
340	1291	2496
341	1295	2491
342	1299	2488
343	1302	2483
344	1305	2479
345	1310	2476
346	1313	2472
347	1317	2468
348	1320	2463
349	1324	2460
350	1328	2457
351	1332	2453
352	1336	2449
353	1340	2445
354	1344	2442
355	1348	2439
356	1352	2435
357	1355	2430
358	1358	2425
359	1362	2422
360	1366	2418
361	1369	2414
362	1373	2410
363	1377	2407
364	1381	2404
365	1387	2402
366	1391	2399
367	1394	2395
368	1399	2392
369	1402	2388
370	1406	2384
371	1409	2379
372	1413	2376
373	1417	2372
374	1421	2368
375	1424	2364
376	1427	2359
377	1431	2355
378	1434	2351
379	1438	2347
380	1442	2343
381	1445	2339
382	1449	2335
383	1454	2332
384	1457	2328
385	1461	2325
386	1465	2321
387	1468	2316
388	1471	2311
389	1474	2307
390	1478	2302
391	1482	2299
392	1486	2295
393	1490	2291
394	1493	2287
395	1497	2284
396	1500	2279
397	1504	2275
398	1507	2270
399	1510	2266
400	1514	2262
401	1517	2257
402	1520	2253
403	1524	2248
404	1528	2245
405	1531	2240
406	1535	2236
407	1538	2232
408	1542	2228
409	1546	2224
410	1549	2220
411	1553	2216
412	1556	2211
413	1560	2208
414	1564	2205
415	1568	2201
416	1572	2198
417	1576	2194
418	1581	2192
419	1584	2188
420	1589	2185
421	1593	2182
422	1597	2178
423	1600	2174
424	1604	2170
425	1608	2166
426	1611	2163
427	1615	2158
428	1618	2154
429	1621	2150
430	1625	2146
431	1628	2141
432	1632	2137
433	1635	2133
434	1639	2129
435	1643	2125
436	1646	2121
437	1650	2117
438	1654	2113
439	1657	2110
440	1661	2106
441	1664	2101
442	1668	2098
443	1672	2094
444	1676	2090
445	1679	2086
446	1683	2083
447	1688	2080
448	1692	2077
449	1696	2073
450	1700	2069
451	1704	2066
452	1708	2062
453	1712	2059
454	1716	2055
455	1720	2052
456	1724	2049
457	1728	2045
458	1732	2042
459	1736	2038
460	1740	2034
461	1744	2031
462	1747	2027
463	1752	2024
464	1755	2019
465	1759	2016
466	1763	2013
467	1767	2009
468	1771	2006
469	1778	2005
470	1784	2004
471	1789	2002
472	1793	1998
473	1797	1994
474	1801	1990
475	1805	1987
476	1809	1983
477	1813	1980
478	1817	1976
479	1820	1972
480	1825	1969
481	1829	1965
482	1833	1962
483	1837	1959
484	1841	1955
485	1845	1951
486	1849	1947
487	1853	1944
488	1857	1940
489	1861	1937
490	1864	1933
491	1868	1929
492	1871	1924
493	1874	1920
494	1877	1915
495	1881	1911
496	1884	1907
497	1888	1903
498	1891	1899
499	1895	1895
500	1898	1890
501	1901	1886
502	1904	1881
503	1907	1877
504	1910	1873
505	1914	1869
506	1917	1864
507	1921	1860
508	1924	1856
509	1927	1852
510	1931	1848
511	1934	1844
512	1938	1840
513	1941	1835
514	1944	1831
515	1947	1827
516	1951	1823
517	1955	1819
518	1958	1815
519	1962	1811
520	1965	1806
521	1968	1802
522	1972	1798
523	1976	1795
524	1981	1792
525	1985	1789
526	1989	1785
527	1993	1782
528	1997	1778
529	2001	1774
530	2005	1771
531	2008	1767
532	2012	1763
533	2015	1759
534	2019	1755
535	2023	1751
536	2027	1748
537	2031	1744
538	2034	1740
539	2039	1737
540	2042	1732
541	2045	1728
542	2049	1725
543	2053	1721
544	2057	1717
545	2060	1713
546	2063	1708
547	2066	1704
548	2069	1700
549	2072	1695
550	2076	1692
551	2079	1688
552	2083	1684
553	2086	1680
554	2090	1675
555	2093	1671
556	2096	1667
557	2100	1663
558	2103	1659
559	2106	1655
560	2110	1651
561	2114	1647
562	2117	1643
563	2121	1640
564	2125	1636
565	2128	1632
566	2132	1628
567	2135	1624
568	2139	1620
569	2143	1616
570	2146	1612
571	2149	1608
572	2153	1604
573	2156	1600
574	2160	1596
575	2163	1592
576	2167	1589
577	2172	1585
578	2176	1582
579	2180	1579
580	2183	1574
581	2187	1570
582	2190	1566
583	2194	1563
584	2203	1563
585	2210	1562
586	2215	1559
587	2220	1555
588	2224	1552
589	2228	1548
590	2232	1545
591	2236	1541
592	2240	1537
593	2243	1533
594	2247	1529
595	2250	1525
596	2255	1522
597	2259	1518
598	2262	1514
599	2266	1510
600	2269	1506
601	2273	1502
602	2276	1498
603	2279	1494
604	2282	1490
605	2286	1486
606	2289	1482
607	2292	1478
608	2295	1474
609	2299	1470
610	2302	1466
611	2306	1462
612	2310	1458
613	2313	1454
614	2316	1450
615	2319	1446
616	2323	1442
617	2326	1438
618	2330	1434
619	2334	1430
620	2337	1426
621	2340	1422
622	2344	1418
623	2348	1415
624	2353	1412
625	2357	1408
626	2361	1404
627	2364	1400
628	2368	1397
629	2371	1392
630	2375	1389
631	2378	1385
632	2382	1381
633	2386	1377
634	2389	1373
635	2393	1369
636	2396	1365
637	2400	1361
638	2403	1358
639	2407	1354
640	2410	1350
641	2414	1346
642	2417	1342
643	2421	1338
644	2425	1334
645	2428	1330
646	2432	1327
647	2435	1322
648	2438	1318
649	2441	1314
650	2444	1310
651	2448	1306
652	2451	1302
653	2454	1298
654	2458	1295
655	2462	1291
656	2465	1287
657	2469	1283
658	2473	1280
659	2477	1276
660	2480	1272
661	2484	1268
662	2488	1264
663	2491	1260
664	2495	1257
665	2498	1253
666	2502	1249
667	2506	1245
668	2509	1241
669	2513	1237
670	2518	1234
671	2521	1230
672	2525	1227
673	2529	1223
674	2534	1220
675	2538	1216
676	2544	1213
677	2548	1210
678	2552	1206
679	2555	1202
680	2560	1199
681	2565	1196
682	2570	1192
683	2574	1189
684	2578	1185
685	2583	1182
686	2587	1178
687	2592	1175
688	2595	1171
689	2600	1168
690	2604	1164
691	2608	1161
692	2612	1157
693	2617	1153
694	2620	1150
695	2625	1146
696	2629	1142
697	2632	1139
698	2637	1135
699	2641	1131
700	2646	1128
701	2649	1124
702	2654	1121
703	2659	1118
704	2663	1114
705	2667	1110
706	2671	1107
707	2675	1103
708	2679	1099
709	2683	1096
710	2687	1092
711	2690	1088
712	2694	1084
713	2698	1080
714	2702	1077
715	2706	1073
716	2710	1069
717	2715	1066
718	2720	1063
719	2724	1059
720	2727	1055
721	2731	1051
722	2736	1048
723	2740	1044
724	2745	1041
725	2749	1037
726	2754	1034
727	2758	1030
728	2761	1026
729	2765	1022
730	2770	1019
731	2773	1015
732	2778	1011
733	2782	1008
734	2787	1004
735	2791	1001
736	2795	997
737	2800	994
738	2804	990
739	2809	987
740	2812	983
741	2817	979
742	2822	976
743	2826	972
744	2831	969
745	2835	965
746	2840	961
747	2844	958
748	2850	955
749	2855	951
750	2858	947
751	2863	944
752	2868	940
753	2873	937
754	2878	934
755	2882	930
756	2887	926
757	2891	923
758	2894	919
759	2899	915
760	2903	911
761	2908	908
762	2912	904
763	2917	901
764	2921	897
765	2925	893
766	2929	889
767	2933	886
768	2938	882
769	2942	879
770	2946	875
771	2951	871
772	2956	868
773	2962	865
774	2966	861
775	2971	857
776	2976	854
777	2980	850
778	2984	846
779	2989	843
780	2992	839
781	2996	835
782	3002	832
783	3007	828
784	3011	824
785	3016	821
786	3020	817
787	3025	813
788	3030	810
789	3034	806
790	3039	803
791	3044	799
792	3047	795
793	3052	791
794	3056	788
795	3061	784
796	3064	780
797	3068	776
798	3072	773
799	3077	769
800	3081	765
801	3085	761
802	3090	758
803	3093	754
804	3097	750
805	3101	746
806	3105	742
807	3108	738
808	3112	734
809	3115	730
810	3119	726
811	3122	722
812	3126	719
813	3129	715
814	3132	711
815	3137	707
816	3141	703
817	3145	699
818	3148	695
819	3153	692
820	3158	688
821	3162	684
822	3166	680
823	3170	677
824	3173	673
825	3177	669
826	3181	665
827	3184	661
828	3188	657
829	3191	653
830	3195	649
831	3198	645
832	3202	641
833	3206	638
834	3209	634
835	3213	630
836	3216	626
837	3220	622
838	3224	618
839	3227	614
840	3230	610
841	3233	606
842	3237	602
843	3240	599
844	3244	595
845	3247	591
846	3251	587
847	3254	583
848	3258	579
849	3261	575
850	3264	571
851	3268	567
852	3272	563
853	3275	560
854	3279	556
855	3282	552
856	3286	548
857	3290	544
858	3293	540
859	3297	536
860	3302	533
861	3305	529
862	3309	525
863	3313	521
864	3316	517
865	3320	513
866	3323	509
867	3326	505
868	3330	502
869	3334	498
870	3338	494
871	3342	490
872	3347	486
873	3351	483
874	3356	479
875	3360	475
876	3366	472
877	3371	468
878	3376	464
879	3380	460
880	3383	457
881	3388	453
882	3392	449
883	3396	445
884	3401	442
885	3405	438
886	3409	434
887	3414	430
888	3418	426
889	3422	423
890	3426	419
891	3430	415
892	3434	411
893	3438	407
894	3442	403
895	3447	400
896	3451	396
897	3456	392
898	3461	388
899	3465	385
900	3469	381
901	3473	377
902	3478	373
903	3482	369
904	3487	366
905	3491	362
906	3496	358
907	3500	354
908	3505	350
909	3510	347
