iter	Logloss
0	0.6810725098
1	0.669678894
2	0.6588086548
3	0.6477830811
4	0.6372857056
5	0.62677771
6	0.6167213745
7	0.607354126
8	0.5979334717
9	0.5887264404
10	0.5797071533
11	0.5711248169
12	0.5627703247
13	0.5546394653
14	0.546770752
15	0.538734314
16	0.5307786865
17	0.5235192871
18	0.5164348145
19	0.5092459717
20	0.5022931824
21	0.4954953613
22	0.4891562195
23	0.4830834351
24	0.4769730835
25	0.4706916809
26	0.4649137878
27	0.4591057129
28	0.45344104
29	0.4481181335
30	0.4431438293
31	0.4380871277
32	0.4330947266
33	0.4282376099
34	0.4234772949
35	0.4188659668
36	0.414498291
37	0.4103830566
38	0.4060374146
39	0.4020769653
40	0.3981963501
41	0.3944342041
42	0.3905877686
43	0.386918396
44	0.3833427429
45	0.3797822266
46	0.3764456787
47	0.3730558777
48	0.3698605347
49	0.3665930176
50	0.3632976685
51	0.3603312988
52	0.3574902344
53	0.3548488159
54	0.3522155762
55	0.3495725098
56	0.3470210876
57	0.3443308105
58	0.3418072205
59	0.3394371338
60	0.3370319519
61	0.3346567078
62	0.3324877014
63	0.3302728271
64	0.3282627869
65	0.326255249
66	0.3240454407
67	0.3221210022
68	0.3201185608
69	0.3181737976
70	0.316335083
71	0.3146363831
72	0.3128049622
73	0.3111089478
74	0.309536499
75	0.3079585571
76	0.3063230896
77	0.3048635559
78	0.3034666138
79	0.3020859375
80	0.3007697144
81	0.2993867493
82	0.2981004028
83	0.2968327026
84	0.2955406189
85	0.2943526611
86	0.2930865784
87	0.2919344482
88	0.2908817139
89	0.2897593384
90	0.288746521
91	0.2876533813
92	0.2866574402
93	0.2857354736
94	0.2847914429
95	0.2838722229
96	0.2829970093
97	0.2820236511
98	0.2811256714
99	0.2801755371
100	0.2792421875
101	0.2784456482
102	0.2775132751
103	0.2766210632
104	0.2758519897
105	0.2751573181
106	0.2744630127
107	0.2738023071
108	0.2730207825
109	0.2722915649
110	0.2715011597
111	0.2708804321
112	0.2701259766
113	0.2695339661
114	0.2689416809
115	0.2682910156
116	0.2676020203
117	0.2670405273
118	0.266520813
119	0.2659582825
120	0.2654838562
121	0.2649891663
122	0.2644283752
123	0.2639784546
124	0.2634692688
125	0.2628724976
126	0.2624111328
127	0.2619153442
128	0.261432312
129	0.2610343018
130	0.2605781555
131	0.2602001343
132	0.2597456055
133	0.2594056396
134	0.259065918
135	0.2585844116
136	0.2582593994
137	0.2578660278
138	0.2575018311
139	0.2571991577
140	0.2567809448
141	0.2564733276
142	0.2561806946
143	0.2558469543
144	0.255572998
145	0.2552771912
146	0.2549328613
147	0.2545992126
148	0.2543559265
149	0.2541103516
150	0.253815033
151	0.2534777832
152	0.2531288147
153	0.2528431702
154	0.2526082306
155	0.2522607117
156	0.2520599213
157	0.251749939
158	0.2515105286
159	0.2512701721
160	0.2510636292
161	0.2507973785
162	0.2505709534
163	0.2503970032
164	0.2502342834
165	0.2500353088
166	0.249835022
167	0.2496166382
168	0.2493613281
169	0.2492006989
170	0.2489306946
171	0.2487509155
172	0.2486020203
173	0.2483986664
174	0.2482252197
175	0.2480619812
176	0.2478976746
177	0.2476904907
178	0.2474355774
179	0.2472004089
180	0.2470852356
181	0.2469512634
182	0.246815506
183	0.2466313171
184	0.2464871979
185	0.2463313904
186	0.2462320251
187	0.2460936127
188	0.2459331055
189	0.2457231445
190	0.2456254578
191	0.2455365601
192	0.2453603516
193	0.2452408752
194	0.2451578369
195	0.2450772552
196	0.2448735352
197	0.2447965698
198	0.2446976013
199	0.2445253143
200	0.2443834534
201	0.2442262878
202	0.2441274414
203	0.2440384674
204	0.2439662476
205	0.2438312073
206	0.2437067566
207	0.2435923767
208	0.2434471283
209	0.2433653412
210	0.2432620087
211	0.2432009125
212	0.2430515747
213	0.2429080505
214	0.2428554382
215	0.2427196045
216	0.2426719666
217	0.2425474548
218	0.2424943695
219	0.2423886871
220	0.242328537
221	0.2422405243
222	0.2421300049
223	0.2419919739
224	0.2418209839
225	0.2417293854
226	0.2416907043
227	0.2415377197
228	0.2414952087
229	0.2414050598
230	0.2413539734
231	0.2413192291
232	0.2412025757
233	0.2411626892
234	0.2411243286
235	0.2410576782
236	0.2409836273
237	0.2409118958
238	0.2408656616
239	0.2407598267
240	0.240614502
241	0.2405866547
242	0.2405253601
243	0.2404992676
244	0.2404242554
245	0.2403419342
246	0.2402074585
247	0.2401830444
248	0.2401561584
249	0.2400733643
250	0.2399487
251	0.2398899689
252	0.2397810364
253	0.2396921997
254	0.2396090393
255	0.2395401611
256	0.2395213776
257	0.2394975281
258	0.2394074707
259	0.2393399048
260	0.2392790527
261	0.2392622375
262	0.2391824036
263	0.2391658478
264	0.2391474457
265	0.2391314087
266	0.2390878296
267	0.2390445862
268	0.2390151672
269	0.2388683472
270	0.2388544922
271	0.238784729
272	0.2387718506
273	0.2387548981
274	0.2387073059
275	0.2386946411
276	0.2386793823
277	0.2386199799
278	0.2385479736
279	0.2385343628
280	0.2384725494
281	0.238458786
282	0.2383885803
283	0.2383756409
284	0.2383319092
285	0.2383214417
286	0.2382973938
287	0.238242691
288	0.2382338715
289	0.2381201019
290	0.2380964966
291	0.2380721283
292	0.2380139771
293	0.2380057678
294	0.2379431458
295	0.23787146
296	0.2378186951
297	0.2377849274
298	0.2377208099
299	0.2376724854
300	0.2376202393
301	0.2375888367
302	0.2375675659
303	0.2375195312
304	0.2374363251
305	0.2373703003
306	0.2373449097
307	0.2373082275
308	0.2372381287
309	0.2371785736
310	0.2371208191
311	0.2370453491
312	0.2370101013
313	0.2369569092
314	0.2369398956
315	0.2369000397
316	0.2368954926
317	0.2368689117
318	0.2368201294
319	0.2368019104
320	0.2367978821
321	0.2367618561
322	0.2367263031
323	0.236664032
324	0.2366332245
325	0.2365929871
326	0.2365461578
327	0.2364745636
328	0.2363924103
329	0.2363291626
330	0.2362882538
331	0.2362312012
332	0.2362249146
333	0.2362072144
334	0.2361479034
335	0.2361011353
336	0.236076416
337	0.2360657043
338	0.2360187988
339	0.2359824982
340	0.2359509888
341	0.2359121704
342	0.2358358765
343	0.2357796021
344	0.2357777863
345	0.2357295227
346	0.235727478
347	0.2356850586
348	0.2356434937
349	0.2356296387
350	0.2355580444
351	0.2355417786
352	0.2355187988
353	0.2355171204
354	0.2354409027
355	0.2353760376
356	0.2353344421
357	0.2352776489
358	0.235226593
359	0.2352251129
360	0.23521698
361	0.235215271
362	0.2351567078
363	0.2351300507
364	0.2350832367
365	0.2350572052
366	0.2350411377
367	0.235039032
368	0.2349803772
369	0.2349557495
370	0.2349342041
371	0.2349068909
372	0.2348708344
373	0.2348514404
374	0.2348267365
375	0.2347937775
376	0.234781662
377	0.2347471619
378	0.2347238464
379	0.2347098694
380	0.2346580505
381	0.2346485596
382	0.2346166382
383	0.2346088715
384	0.2345770874
385	0.2345747375
386	0.2345624695
387	0.2345320282
388	0.2345307312
389	0.2344749908
390	0.2344372864
391	0.2344267578
392	0.2344257812
393	0.2344176483
394	0.2343960266
395	0.2343361969
396	0.2343147888
397	0.2342538147
398	0.2342519379
399	0.2342201538
400	0.2342006226
401	0.234187439
402	0.2341693115
403	0.2341428528
404	0.2340912476
405	0.2340618286
406	0.2340240173
407	0.233978241
408	0.233951416
409	0.2338941345
410	0.2338561249
411	0.2338439636
412	0.2338166656
413	0.2338086853
414	0.233787674
415	0.2337781982
416	0.2337379456
417	0.2337186279
418	0.2337053528
419	0.2337040558
420	0.2336805725
421	0.2336502686
422	0.2336229248
423	0.2336000824
424	0.2336004333
425	0.233585083
426	0.2335471954
427	0.2334945068
428	0.2334846497
429	0.2334504395
430	0.2334387207
431	0.2334182739
432	0.2334171448
433	0.2334051361
434	0.2333856964
435	0.2333721008
436	0.2333676605
437	0.2333486328
438	0.2333470459
439	0.2333472595
440	0.2332968445
441	0.2332818756
442	0.2332527618
443	0.2332423096
444	0.2332311401
445	0.2332050171
446	0.233204834
447	0.2332012024
448	0.2332011108
449	0.2331784821
450	0.2331655273
451	0.2331385193
452	0.233091217
453	0.2330713348
454	0.2330610046
455	0.2330479736
456	0.2330470123
457	0.2330294495
458	0.2330034943
459	0.2329997864
460	0.232971817
461	0.2329620972
462	0.2329320984
463	0.232906189
464	0.232906662
465	0.2329035492
466	0.2328675232
467	0.2328669434
468	0.2328200378
469	0.2328069305
470	0.2327926941
471	0.2327817841
472	0.2327632141
473	0.2327314606
474	0.2327152405
475	0.2327110901
476	0.232674408
477	0.2326473389
478	0.2326398163
479	0.2326220551
480	0.2326110992
481	0.2325801086
482	0.2325605316
483	0.2325380554
484	0.2325027618
485	0.2324850769
486	0.2324782562
487	0.2324684753
488	0.2324681702
489	0.2324362335
490	0.2324280243
491	0.2324240723
492	0.2324242554
493	0.2324144135
494	0.2323877411
495	0.2323624268
496	0.232347641
497	0.2323312836
498	0.2322843933
499	0.2322719727
500	0.2322566223
501	0.2322387695
502	0.2322037506
503	0.2322044373
504	0.2321948547
505	0.2321685486
506	0.2321566315
507	0.2321289368
508	0.2321127777
509	0.232102005
510	0.232080658
511	0.2320563965
512	0.2320401917
513	0.232030365
514	0.2320225983
515	0.2319875946
516	0.2319733582
517	0.2319732819
518	0.2319391479
519	0.2319355469
520	0.2319187012
521	0.2318929596
522	0.2318878174
523	0.2318652649
524	0.2318483582
525	0.2318395386
526	0.2318389282
527	0.2318246155
528	0.2318166199
529	0.2317882843
530	0.2317791901
531	0.2317524109
532	0.2317115784
533	0.2316774445
534	0.2316639709
535	0.2316557312
536	0.2316330872
537	0.2316231079
538	0.2315942383
539	0.2315891724
540	0.231581543
541	0.2315605774
542	0.2315289459
543	0.2315062866
544	0.2314869843
545	0.2314802856
546	0.2314717712
547	0.2314480591
548	0.2314421997
549	0.2314411011
550	0.2314280548
551	0.2314224243
552	0.2314084778
553	0.2314002991
554	0.2314006958
555	0.2313805389
556	0.2313711548
557	0.231342804
558	0.2313147583
559	0.2312934418
560	0.2312834167
561	0.2312765808
562	0.2312762451
563	0.2312756958
564	0.2312756042
565	0.2312457886
566	0.2312463379
567	0.2312218323
568	0.2312047577
569	0.2311842957
570	0.2311750183
571	0.2311598206
572	0.2311471863
573	0.2311358948
574	0.2311010742
575	0.2310895691
576	0.2310741272
577	0.2310487823
578	0.2310336304
579	0.2310151367
580	0.2310039368
581	0.2309924774
582	0.2309780884
583	0.2309675293
584	0.230967041
585	0.2309577789
586	0.230943573
587	0.230936554
588	0.230909256
589	0.2309082947
590	0.2308981018
591	0.2308913879
592	0.2308884888
593	0.230887207
594	0.2308659668
595	0.2308642578
596	0.2308515625
597	0.2308288116
598	0.2308130493
599	0.230775238
600	0.230756897
601	0.2307431335
602	0.2307161255
603	0.230694397
604	0.2306941223
605	0.2306685028
606	0.2306578979
607	0.2306411438
608	0.2306187134
609	0.2306154175
610	0.2306058197
611	0.2305944519
612	0.2305907288
613	0.2305869904
614	0.2305776215
615	0.2305692139
616	0.230548645
617	0.2305426636
618	0.2305344086
619	0.2305222473
620	0.2305194397
621	0.2304979858
622	0.2304909363
623	0.2304843597
624	0.2304821472
625	0.2304545441
626	0.2304404297
627	0.2304407196
628	0.2304076538
629	0.230398407
630	0.2303736572
631	0.23036026
632	0.2303379669
633	0.2303214569
634	0.2303042603
635	0.2302981873
636	0.2302929077
637	0.230290802
638	0.2302723389
639	0.2302621155
640	0.2302551575
641	0.2302509155
642	0.2302271118
643	0.2302191162
644	0.2302039642
645	0.2301838074
646	0.2301754456
647	0.2301583252
648	0.2301370239
649	0.230137146
650	0.2301250305
651	0.2301040039
652	0.2301002197
653	0.2300913544
654	0.2300798645
655	0.2300689087
656	0.2300649109
657	0.2300561066
658	0.2300323639
659	0.2300267029
660	0.230007782
661	0.230002594
662	0.230002655
663	0.2299995117
664	0.2299837646
665	0.2299734955
666	0.2299685059
667	0.2299611359
668	0.2299498291
669	0.2299387817
670	0.229938858
671	0.2299334717
672	0.2299211273
673	0.2299053497
674	0.2299012451
675	0.2298931122
676	0.2298928223
677	0.229890274
678	0.2298770142
679	0.2298578644
680	0.2298411102
681	0.2298347626
682	0.2298201904
683	0.2298199921
684	0.2298026886
685	0.2297914276
686	0.229783783
687	0.2297697296
688	0.2297482147
689	0.2297367401
690	0.229704483
691	0.2296881409
692	0.2296775208
693	0.2296605988
694	0.2296410828
695	0.2296252136
696	0.2296117706
697	0.2296004944
698	0.2295862579
699	0.2295726013
700	0.2295578461
701	0.2295499268
702	0.2295364075
703	0.2295215454
704	0.2295128479
705	0.2294978485
706	0.2294973145
707	0.229496994
708	0.2294909973
709	0.2294843445
710	0.2294732056
711	0.2294663391
712	0.2294598236
713	0.2294508972
714	0.2294457397
715	0.2294366455
716	0.2294291687
717	0.2294136047
718	0.2294029846
719	0.2293980408
720	0.2293967133
721	0.2293838959
722	0.2293636169
723	0.2293592834
724	0.2293317566
725	0.2293215485
726	0.2293188324
727	0.2293106689
728	0.2293067322
729	0.2292994995
730	0.2292942505
731	0.2292864227
732	0.2292689362
733	0.2292507782
734	0.2292366028
735	0.2292221375
736	0.2292219849
737	0.2292173157
738	0.2291996155
739	0.2291963654
740	0.2291856689
741	0.2291753082
742	0.2291681519
743	0.2291634521
744	0.2291573792
745	0.2291487122
746	0.2291400452
747	0.2291340027
748	0.2291280518
749	0.2291136017
750	0.2290978851
751	0.2290859222
752	0.2290743866
753	0.2290643005
754	0.2290630646
755	0.2290489044
756	0.2290378723
757	0.2290322418
758	0.2290188751
759	0.228996994
760	0.2289889526
761	0.2289789581
762	0.2289641266
763	0.2289558716
764	0.2289353943
765	0.2289219208
766	0.2289187317
767	0.2289090118
768	0.2289035645
769	0.2288977661
770	0.2288914032
771	0.2288860626
772	0.2288864136
773	0.228870697
774	0.2288659058
775	0.2288624268
776	0.2288625641
777	0.2288432465
778	0.228824585
779	0.228813324
780	0.2287992554
781	0.2287847595
782	0.2287796631
783	0.2287762756
784	0.228769043
785	0.2287596436
786	0.2287470245
787	0.2287434082
788	0.2287330933
789	0.2287282104
790	0.2287219849
791	0.2287133179
792	0.2287082214
793	0.2286985626
794	0.228685791
795	0.2286718445
796	0.2286658936
797	0.2286476746
798	0.228638504
799	0.2286319733
800	0.2286201324
801	0.2286018066
802	0.2285890808
803	0.2285813446
804	0.2285747986
805	0.2285660553
806	0.2285547943
807	0.2285517273
808	0.2285449219
809	0.2285334473
810	0.2285211334
811	0.2285046234
812	0.2284992065
813	0.228488739
814	0.2284772034
815	0.2284647827
816	0.2284460754
817	0.2284380341
818	0.2284303284
819	0.2284144897
820	0.2284035645
821	0.2283979187
822	0.2283826294
823	0.2283674622
824	0.2283521729
825	0.2283478241
826	0.228335022
827	0.2283311615
828	0.2283229675
829	0.2283085632
830	0.2283049927
831	0.22829953
832	0.228289505
833	0.2282854004
834	0.2282728577
835	0.2282568359
836	0.2282566833
837	0.2282476501
838	0.2282381592
839	0.2282293396
840	0.2282179565
841	0.2282079773
842	0.2281970825
843	0.2281919556
844	0.2281882477
845	0.228178009
846	0.22816745
847	0.228155426
848	0.2281542053
849	0.228142746
850	0.2281321716
851	0.2281297913
852	0.2281233826
853	0.2281160736
854	0.2281010132
855	0.2280880585
856	0.2280862122
857	0.2280836487
858	0.2280746002
859	0.2280653076
860	0.2280473633
861	0.2280437164
862	0.2280371399
863	0.2280283813
864	0.2280158081
865	0.2280048981
866	0.227991394
867	0.2279862366
868	0.2279790955
869	0.2279674988
870	0.2279607544
871	0.2279511871
872	0.2279463196
873	0.2279444275
874	0.2279330139
875	0.227931488
876	0.2279233398
877	0.2279176941
878	0.2279061737
